"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkön kulutus Suomessa"
"2010-01-05 08:00:00","2010-01-05 09:00:00","2010-01-05 10:00:00","2010-01-05 11:00:00","12600.0"
"2010-01-05 09:00:00","2010-01-05 10:00:00","2010-01-05 11:00:00","2010-01-05 12:00:00","12599.0"
"2010-01-05 10:00:00","2010-01-05 11:00:00","2010-01-05 12:00:00","2010-01-05 13:00:00","12618.0"
"2010-01-05 11:00:00","2010-01-05 12:00:00","2010-01-05 13:00:00","2010-01-05 14:00:00","12547.0"
"2010-01-05 12:00:00","2010-01-05 13:00:00","2010-01-05 14:00:00","2010-01-05 15:00:00","12682.0"
"2010-01-05 13:00:00","2010-01-05 14:00:00","2010-01-05 15:00:00","2010-01-05 16:00:00","12877.0"
"2010-01-05 14:00:00","2010-01-05 15:00:00","2010-01-05 16:00:00","2010-01-05 17:00:00","13176.0"
"2010-01-05 15:00:00","2010-01-05 16:00:00","2010-01-05 17:00:00","2010-01-05 18:00:00","13266.0"
"2010-01-05 16:00:00","2010-01-05 17:00:00","2010-01-05 18:00:00","2010-01-05 19:00:00","13315.0"
"2010-01-05 17:00:00","2010-01-05 18:00:00","2010-01-05 19:00:00","2010-01-05 20:00:00","13429.0"
"2010-01-05 18:00:00","2010-01-05 19:00:00","2010-01-05 20:00:00","2010-01-05 21:00:00","13299.0"
"2010-01-05 19:00:00","2010-01-05 20:00:00","2010-01-05 21:00:00","2010-01-05 22:00:00","12844.0"
"2010-01-05 20:00:00","2010-01-05 21:00:00","2010-01-05 22:00:00","2010-01-05 23:00:00","13237.0"
"2010-01-05 21:00:00","2010-01-05 22:00:00","2010-01-05 23:00:00","2010-01-06 00:00:00","12824.0"
"2010-01-05 22:00:00","2010-01-05 23:00:00","2010-01-06 00:00:00","2010-01-06 01:00:00","12243.0"
"2010-01-05 23:00:00","2010-01-06 00:00:00","2010-01-06 01:00:00","2010-01-06 02:00:00","11852.0"
"2010-01-06 00:00:00","2010-01-06 01:00:00","2010-01-06 02:00:00","2010-01-06 03:00:00","11595.0"
"2010-01-06 01:00:00","2010-01-06 02:00:00","2010-01-06 03:00:00","2010-01-06 04:00:00","11551.0"
"2010-01-06 02:00:00","2010-01-06 03:00:00","2010-01-06 04:00:00","2010-01-06 05:00:00","11567.0"
"2010-01-06 03:00:00","2010-01-06 04:00:00","2010-01-06 05:00:00","2010-01-06 06:00:00","11656.0"
"2010-01-06 04:00:00","2010-01-06 05:00:00","2010-01-06 06:00:00","2010-01-06 07:00:00","11782.0"
"2010-01-06 05:00:00","2010-01-06 06:00:00","2010-01-06 07:00:00","2010-01-06 08:00:00","11802.0"
"2010-01-06 06:00:00","2010-01-06 07:00:00","2010-01-06 08:00:00","2010-01-06 09:00:00","12034.0"
"2010-01-06 07:00:00","2010-01-06 08:00:00","2010-01-06 09:00:00","2010-01-06 10:00:00","12090.0"
"2010-01-06 08:00:00","2010-01-06 09:00:00","2010-01-06 10:00:00","2010-01-06 11:00:00","12251.0"
"2010-01-06 09:00:00","2010-01-06 10:00:00","2010-01-06 11:00:00","2010-01-06 12:00:00","12420.0"
"2010-01-06 10:00:00","2010-01-06 11:00:00","2010-01-06 12:00:00","2010-01-06 13:00:00","12401.0"
"2010-01-06 11:00:00","2010-01-06 12:00:00","2010-01-06 13:00:00","2010-01-06 14:00:00","12335.0"
"2010-01-06 12:00:00","2010-01-06 13:00:00","2010-01-06 14:00:00","2010-01-06 15:00:00","12348.0"
"2010-01-06 13:00:00","2010-01-06 14:00:00","2010-01-06 15:00:00","2010-01-06 16:00:00","12639.0"
"2010-01-06 14:00:00","2010-01-06 15:00:00","2010-01-06 16:00:00","2010-01-06 17:00:00","13153.0"
"2010-01-06 15:00:00","2010-01-06 16:00:00","2010-01-06 17:00:00","2010-01-06 18:00:00","13224.0"
"2010-01-06 16:00:00","2010-01-06 17:00:00","2010-01-06 18:00:00","2010-01-06 19:00:00","13276.0"
"2010-01-06 17:00:00","2010-01-06 18:00:00","2010-01-06 19:00:00","2010-01-06 20:00:00","13387.0"
"2010-01-06 18:00:00","2010-01-06 19:00:00","2010-01-06 20:00:00","2010-01-06 21:00:00","13254.0"
"2010-01-06 19:00:00","2010-01-06 20:00:00","2010-01-06 21:00:00","2010-01-06 22:00:00","12872.0"
"2010-01-06 20:00:00","2010-01-06 21:00:00","2010-01-06 22:00:00","2010-01-06 23:00:00","13232.0"
"2010-01-06 21:00:00","2010-01-06 22:00:00","2010-01-06 23:00:00","2010-01-07 00:00:00","12887.0"
"2010-01-06 22:00:00","2010-01-06 23:00:00","2010-01-07 00:00:00","2010-01-07 01:00:00","12529.0"
"2010-01-06 23:00:00","2010-01-07 00:00:00","2010-01-07 01:00:00","2010-01-07 02:00:00","12187.0"
"2010-01-07 00:00:00","2010-01-07 01:00:00","2010-01-07 02:00:00","2010-01-07 03:00:00","11930.0"
"2010-01-07 01:00:00","2010-01-07 02:00:00","2010-01-07 03:00:00","2010-01-07 04:00:00","11885.0"
